t_video_s,LinPower_true,video,LinPower_fit_mse,LinPower_fit_anchor
1792.8,754000.0,88.2731791624335,733760.0637355458,729626.9124845099
1792.9,754000.0,88.38804232407766,735715.6806165294,731435.4571358168
1793.0,754000.0,88.43348274332197,736489.332061267,732150.9260990694
1793.1,754000.0,88.45308311298558,736823.0405648376,732459.538044025
1793.2,747000.0,88.428490520169,736404.336352183,732072.3224949879
1793.3,747000.0,88.33382004375102,734792.5125162059,730581.7159218129
1793.4,747000.0,88.42978039574082,736426.297287321,732092.6318573009
1793.5,745000.0,88.45593457846734,736871.5885409846,732504.4349680832
1793.6,745000.0,88.4677729732683,737073.1445871976,732690.8329854358
1793.7,745000.0,88.53852189000666,738277.6889676966,733804.7895675236
1793.8,745000.0,88.4811521461022,737300.9333392489,732901.4908771508
1793.9,752000.0,88.5083996947822,737764.8398293827,733330.509264953
1794.0,752000.0,88.51779577975114,737924.8140292687,733478.4526000533
1794.1,752000.0,88.50073798008472,737634.3943637938,733209.8739547487
1794.2,752000.0,88.38401215339466,735647.064450057,731372.0012503245
1794.3,758000.0,88.39117365184627,735768.9934224503,731484.7605504743
1794.4,758000.0,88.35702083704527,735187.5204749715,730947.0172944879
1794.5,758000.0,88.33278413541682,734774.875531497,730565.4053270996
1794.6,758000.0,88.39298116095485,735799.7673910114,731513.2201617518
1794.7,762000.0,88.40258669547387,735963.3075999641,731664.4613240939
1794.8,762000.0,88.27651145179745,733816.7980378163,729679.3800817754
1794.9,762000.0,88.32932749194201,734716.024023023,730510.9797481904
1795.0,762000.0,88.47113326662317,737130.3556748587,732743.7415114313
1795.1,767000.0,88.47234675456052,737151.0160629342,732762.8481343652
1795.2,767000.0,88.40590509547111,736019.805427114,731716.7102303575
1795.3,767000.0,88.33711747676158,734848.6533673459,730633.6346984592
1795.4,767000.0,88.39226321657198,735787.5439406496,731501.915976363
1795.5,767000.0,88.4438422874613,736665.7097537157,732314.0393015528
1795.6,761000.0,88.37236645705948,735448.7892152655,731188.637310866
1795.7,761000.0,88.34860327422818,735044.2062242911,730814.4809965838
1795.8,761000.0,88.38012864957794,735580.9453783492,731310.8546655055
1795.9,761000.0,88.56598922613011,738745.337475972,734237.268554874
1796.0,755000.0,88.48318354629396,737335.5191929739,732933.4757006476
1796.1,755000.0,88.46631346913256,737048.2956200887,732667.8527856879
1796.2,755000.0,88.53952910389063,738294.837411515,733820.6483620796
1796.3,755000.0,88.55236182881595,738513.3225475128,734022.7023164823
1796.4,750000.0,88.56156527375494,738670.016930884,734167.6124937728
1796.5,750000.0,88.53401861421084,738201.0178919577,733733.884542472
1796.6,750000.0,88.43506455614576,736516.2634099822,732175.8320748485
1796.7,750000.0,88.42632321938972,736367.4367062959,732038.1978881422
1796.8,753000.0,88.49298638081623,737502.4185573901,733087.8233930594
1796.9,753000.0,88.53409770036015,738202.3643829164,733735.1297705353
1797.0,753000.0,88.54097318332128,738319.4237634111,733843.3856966002
1797.1,753000.0,88.52096457905544,737978.7648114276,733528.3460119255
1797.2,753000.0,88.42282839351131,736307.9351186147,731983.1711192532
1797.3,755000.0,88.3799035569305,735577.113035805,731307.3105344041
1797.4,755000.0,88.36827181235618,735379.0753384335,731124.1662683564
1797.5,755000.0,88.46396937345808,737008.3859309766,732630.9445060138
1797.6,755000.0,88.33604514608032,734830.3962694893,730616.7506262271
1797.7,755000.0,88.28831117156317,734017.6956174616,729865.1691525595
1797.8,755000.0,88.34976004033065,735063.9008877929,730832.694522291
1797.9,761000.0,88.39318382346849,735803.2178465547,731516.4111256765
1798.0,761000.0,88.22198445593256,732888.4419656314,728820.8410574987
1798.1,761000.0,88.28932098032561,734034.8882407025,729881.0688040233
1798.2,761000.0,88.17909838668557,732158.2799208302,728145.5908724787
1798.3,761000.0,88.24844565178073,733338.9603089453,729237.4781544877
1798.4,761000.0,88.30135003677651,734239.6904202781,730070.4688291762
1798.5,761000.0,88.33583477234477,734826.8145255893,730613.4382474907
1798.6,761000.0,88.24269076763969,733240.9798214396,729146.8662926585
1798.7,761000.0,88.24102847386973,733212.6782344806,729120.6931274459
1798.8,761000.0,88.19473600160396,732424.5200562661,728391.8084100687
1798.9,761000.0,88.30946273024387,734377.8140803613,730198.2048950137
1799.0,758000.0,88.268232866637,733675.8499683163,729549.0320163209
1799.1,758000.0,88.31073508934946,734399.4767867499,730218.23845688
1799.2,758000.0,88.22869135300337,733002.6310663228,728926.4425632441
1799.3,758000.0,88.28495914674237,733960.6253067441,729812.390816373
1799.4,758000.0,88.17988964405338,732171.7515704308,728158.0493862429
1799.5,758000.0,88.16169164532387,731861.91930562,727871.5180667525
1799.6,758000.0,88.24961137514211,733358.8074753599,729255.8327141216
1799.7,758000.0,88.30158301657335,734243.657046454,730074.1371451044
1799.8,758000.0,88.14242309454505,731533.8602252696,727568.1306799643
1799.9,758000.0,88.11149029497213,731007.210042957,727081.0872413474
1800.0,751000.0,88.15143617141857,731687.3134737362,727710.0434720039
1800.1,751000.0,88.25687233729249,733482.4298791855,729370.1580911393
